conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010366-01	COC1=CC=C(OC2=NC3=C(C=N2)N=CC(=O)N3CC4=CC(OC)=CC=C4)C=C1	-.692	.6692	-.2526	.3509	-.2174	3.068	4.727	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010394-01	COC1=CC=C(OC2=NC3=C(C=N2)N=C(C)C(=O)N3C4=CC=CC=C4)C=C1	-1.279	-1.252	-.576	-.5219	-1.344	1.074	.5007	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010395-01	C(NC1=C(C=NC=N1)C2=COC=C2)C3=CC=CC=C3	1.119	1.091	.1019	1.681	.03384	-1.02	-1.009	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010402-01	COCCN1C(=O)C(=NC2=C1N=C(OC3=CC=CC(Cl)=C3)N=C2)C4=CN(C)C5=C4C=CC=C5	-1.509	.3505	.473	-.5189	.4311	.05665	-.2172	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010435-01	CC(=O)N1CCC2(CN(C2)C(=O)NC3=CC(=CC=C3)C#N)CC1	2.587	4.702	1.198	.735	2.73	2.837	2.028	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010455-01	CC1=NC2=C(N=C(OCC3=CC=CC=C3)N=C2)N(CCC#N)C1=O	-2.95	.3842	-1.239	.8953	.5133	-1.265	.649	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010506-01	CN(C)C1=NC2=C(C=N1)N=C(C3=CC=C(F)C=C3)C(=O)N2C	-.4655	.7761	1.935	1.005	-.5198	.1681	-.713	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010515-01	O=C(NC1=CC=CC=C1)N2CC[C@]3(C2)CCCN(C3)C(=O)OC4=CC=CC=C4	-2.502	-1.119	.6581	1.531	-.3557	.03218	1.704	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010541-01	O=C(N1CCC2(CC1)CCN(CC2)C3=CC=NC=C3)C4=CC=NC=C4	-.9624	.4324	.5191	-1.063	1.595	.8255	.1682	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010571-01	CN(C)C1=CC=C(C=C1)C2=CC3=C(N=CN=C3C=C2)N(C)C	2.351	3.207	2.728	-.7593	-16.03	-58.55	-89.13	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010589-01	FC1=CC(NC(=O)N2CC[C@]3(C2)CCCN(C3)C(=O)OC4=CC=CC=C4)=CC=C1	-.14	-.8577	-1.437	.08394	.8743	-.293	1.083	
conc		.0000000007	.0000000037	.0000000183	.0000000915	.0000004572	.000002286	.0000114293	
ID010593-01	CNC1=C2C=CC=CC2=NC(=N1)C3=CC=CN=C3	.4318	-.5771	-3.013	1.562	1.058	2.168	-1.882	
