Project	CMPD ID	Curve Class	Activity Rank	Log EC50	Hill Slope	Max Resp	Signal Direction	Curve Description	Y0	YMax	EC50	R2	Model P	SYX	Mask No	Mask Flags	Min Data	Max Data	Data Range	Project ID	Conc0	Conc1	Conc2	Conc3	Conc4	Conc5	Conc6	Conc7	Conc8	Conc9	Conc10	Conc11	Conc12	Conc13	Conc14	Conc15	Conc16	Conc17	Conc18	Conc19	Conc20	Conc21	Conc22	Conc23	Conc24	Resp0	Resp1	Resp2	Resp3	Resp4	Resp5	Resp6	Resp7	Resp8	Resp9	Resp10	Resp11	Resp12	Resp13	Resp14	Resp15	Resp16	Resp17	Resp18	Resp19	Resp20	Resp21	Resp22	Resp23	Resp24	Smiles	ID	
DENV_MTase	49670835	2.2	-28000.0	-4.550000000000003	1.4163171	0.0	Increase	Partial Curve, <80% POC		78.90300000000002	28.18382931264431	0.9721369036247286		27.594529608367953	0	0000000000	0.0	70.86	70.86	100	1.0E-4	5.0E-5	2.5E-5	1.25E-5	6.25E-6	3.13E-6	1.56E-6	7.8E-7	3.9E-7	1.9E-7																70.8600	48.5200	38.7800	23.1400	0.0000	0.0000	0.0000	2.0900	3.3800	0.0000																COC1=CC=CC(=C1)/C=C\2/C(=O)NN(C2=O)C3=CC=CC=C3	1000457	
DENV_MTase	49675085	2.2	-28000.0	-4.550000000000003	1.4641	0.0	Increase	Partial Curve, <80% POC		46.846999999999994	28.18382931264431	0.9874437007701583		3.9015162328696795	0	0000000000	0.0	40.77	40.77	100	1.0E-4	5.0E-5	2.5E-5	1.25E-5	6.25E-6	3.13E-6	1.56E-6	7.8E-7	3.9E-7	1.9E-7																40.7700	32.5700	24.5900	10.5200	7.6000	5.6400	1.4300	4.1900	2.7100	0.0000																C1CCN(CC1)/N=C/C2=C(C(=C(C=C2)O)O)O	1000444	
DENV_MTase	24836087	2.2	-28000.0	-4.450000000000004	1.4780888099999998	0.0	Increase	Partial Curve, <80% POC		88.73	35.48133892335723	0.979307821242511		22.595718634310206	0	0000000000	0.0	76.73	76.73	100	1.0E-4	5.0E-5	2.5E-5	1.25E-5	6.25E-6	3.13E-6	1.56E-6	7.8E-7	3.9E-7	1.9E-7																76.7300	47.3700	37.5900	16.5600	0.0000	2.6900	0.0000	0.0000	0.0000	0.0000																C1COCCN1/N=C/C2=C(C(=C(C=C2)O)O)O	1000887	
DENV_MTase	17414308	2.2	-28000.0	-4.400000000000004	1.4780888099999998	0.0	Increase	Partial Curve, <80% POC		67.85400000000001	39.81071705534935	0.930376493288205		44.57457683573949	0	0000000000	0.0	62.06	62.06	100	1.0E-4	5.0E-5	2.5E-5	1.25E-5	6.25E-6	3.13E-6	1.56E-6	7.8E-7	3.9E-7	1.9E-7																62.0600	31.2100	18.9700	20.3400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000																CC1=CC(=C(C=C1C)S(=O)(=O)ON2C(=O)C3=CC=CC=C3C2=O)C	1001375	
DENV_MTase	17432782	2.2	-28000.0	-4.450000000000004	1.4780888099999998	0.0	Increase	Partial Curve, <80% POC		58.501000000000005	35.48133892335723	0.9244465095618758		38.06526145892064	0	0000000000	0.0	51.58	51.58	100	1.0E-4	5.0E-5	2.5E-5	1.25E-5	6.25E-6	3.13E-6	1.56E-6	7.8E-7	3.9E-7	1.9E-7																51.5800	27.1400	31.4100	6.3100	0.0000	0.0000	0.0000	2.0900	0.0000	0.0000																CC1=CC(=C(C=C1)S(=O)(=O)ON2C(=O)C3=CC=CC=C3C2=O)C	1001347	
DENV_MTase	49722024	2.2	-28000.0	-4.5000000000000036	1.4780888099999998	0.0	Increase	Partial Curve, <80% POC		78.96300000000001	31.622776601683523	0.9885409389009906		10.64689802369086	0	0000000000	0.0	68.06	68.06	100	1.0E-4	5.0E-5	2.5E-5	1.25E-5	6.25E-6	3.13E-6	1.56E-6	7.8E-7	3.9E-7	1.9E-7																68.0600	48.7100	33.5000	17.9400	0.0000	0.0000	0.0000	0.0000	1.3800	0.0000																CSC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC=C3	1000378	
DENV_MTase	17407042	2.2	-28000.0	-4.600000000000003	1.5094870999999999	0.0	Increase	Partial Curve, <80% POC		74.646	25.11886431509561	0.9645025486416542		35.95240970913532	0	0000000000	0.0	67.86	67.86	100	1.0E-4	5.0E-5	2.5E-5	1.25E-5	6.25E-6	3.13E-6	1.56E-6	7.8E-7	3.9E-7	1.9E-7																67.8600	47.0200	46.7900	17.5300	0.6900	0.0000	0.0000	0.0000	0.0000	0.0000																C1=CC=C(C=C1)CSC2=NC3=C(C4=CC=CC=C4NC5(O3)C6=C(C=CC(=C6)F)NC5=O)N=N2	1001404	
DENV_MTase	24826075	2.2	-28000.0	-4.450000000000004	1.55794881	0.0	Increase	Partial Curve, <80% POC		47.5	35.48133892335723	0.9719421183868876		8.19955063457663	0	0000000000	0.0	39.34	39.34	100	1.0E-4	5.0E-5	2.5E-5	1.25E-5	6.25E-6	3.13E-6	1.56E-6	7.8E-7	3.9E-7	1.9E-7																39.3400	31.8900	16.8600	11.9200	4.8400	0.0000	1.4300	6.9800	1.3500	0.0000																COC1=CC2=NC3=C(C=CC=C3OC)N=C2C=C1	1000916	
DENV_MTase	49721929	2.2	-28000.0	-4.5000000000000036	1.7137436910000001	0.0	Increase	Partial Curve, <80% POC		83.17899999999999	31.622776601683523	0.9800407845044299		20.4851843682335	0	0000000000	0.0	73.98	73.98	100	1.0E-4	5.0E-5	2.5E-5	1.25E-5	6.25E-6	3.13E-6	1.56E-6	7.8E-7	3.9E-7	1.9E-7																73.9800	56.1200	36.5300	17.5300	4.1400	9.1600	0.0000	0.0000	10.1500	0.0000																CCSC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=C(C=C3)F	1000382	
DENV_MTase	26666179	2.2	-28000.0	-4.450000000000004	1.752947691	0.0	Increase	Partial Curve, <80% POC		81.21350000000002	35.48133892335723	0.9923848367424384		7.459498963955075	0	0000000000	0.0	72.33	72.33	100	1.0E-4	5.0E-5	2.5E-5	1.25E-5	6.25E-6	3.13E-6	1.56E-6	7.8E-7	3.9E-7	1.9E-7																72.3300	48.9300	26.8000	15.1800	1.0200	0.0000	0.0000	0.0000	0.0000	0.0000																C1=CC=C2C=C(C=CC2=C1)C=C3C(=O)NC(=O)NC3=O	1000779	
